EvseID,ChargingStationId,Accessibility,GeoCoordinates,City,Country,PostalCode,Street,ParkingSpot,ParkingFacility,DynamicInfoAvailable,IsOpen24Hours,LastUpdate,MaxCapacity,DynamicPowerLevel,EnergySource,ChargingFacility_power,ChargingFacility_powertype
CH*ECUEHQ56TCFWJS3VCZX79D5XDAT8SX,CH*ECUEHQ56TCFWJS3VCZX79D5XDAT8SX,Free publicly accessible,47.002693 8.612431,Brunnen SZ,CHE,6440,Industriestrasse 12,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE5XBVBZB99KZLKJXQ464KZY9LGW,CH*ECUE5XBVBZB99KZLKJXQ464KZY9LGW,Free publicly accessible,46.678386 7.865287,bei Interlaken,CHE,Matten,3800,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE4WQCP5Q2JTTPRRQ7NNN7WFZSZQ,CH*ECUE4WQCP5Q2JTTPRRQ7NNN7WFZSZQ,Free publicly accessible,47.159389 7.277805,Biel,CHE,2504,Solothurnstrasse 112,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEWWZ9LFD289S7T92V9FDK5K7GKS,CH*ECUEWWZ9LFD289S7T92V9FDK5K7GKS,Free publicly accessible,47.478098 9.523295,Rorschacherberg,CHE,9404,Warteggstrasse 34,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUED4AEQQFCERE4PJ83NSWGLA8UK2,CH*ECUED4AEQQFCERE4PJ83NSWGLA8UK2,Free publicly accessible,46.869278 9.540589,Chur,CHE,7000,Loestrasse 220,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEQ6X4KSH559HZVHM45KDZQ3A433,CH*ECUEQ6X4KSH559HZVHM45KDZQ3A433,Free publicly accessible,46.811331 9.843937,Davos,CHE,7260,Flüelastrasse 2A,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEZFMD8BT3SNCAY3DMDDVSX5RBAS,CH*ECUEZFMD8BT3SNCAY3DMDDVSX5RBAS,Free publicly accessible,47.223822 8.984478,Uznach,CHE,8730,Webereistrasse 3,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE286KQYTDYAGWZPFKFEGNCBVEC3,CH*ECUE286KQYTDYAGWZPFKFEGNCBVEC3,Free publicly accessible,46.802226 9.827387,Davos Platz,CHE,7270,Buolstrasse 3,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEPUN8KCZGEL7APYTR59T4U4DU7Q,CH*ECUEPUN8KCZGEL7APYTR59T4U4DU7Q,Free publicly accessible,47.496384 8.712994,Winterthur,CHE,8400,Brühlbergstrasse 4,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE2RPRAM9RS46FB6V4GVG9DJMV4W,CH*ECUE2RPRAM9RS46FB6V4GVG9DJMV4W,Free publicly accessible,47.195971 8.483511,Steinhausen,CHE,6312,Kirchmattstrasse 2,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEMDJP9RBNX75GSFBZVCL8SPN3M2,CH*ECUEMDJP9RBNX75GSFBZVCL8SPN3M2,Free publicly accessible,47.422844 9.241614,Gossau,CHE,9200,Bischofszellerstrasse 90,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEVRD3NM42876DSEUC28YZPDTBRQ,CH*ECUEVRD3NM42876DSEUC28YZPDTBRQ,Free publicly accessible,46.168754 8.855509,Tenero-Contra,CHE,6598,Via alle Brere 7,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUE7FANNSD9VVTXVT92HK8PHZ6XW2,CH*ECUE7FANNSD9VVTXVT92HK8PHZ6XW2,Free publicly accessible,47.226336 8.843456,Rapperswil-Jona,CHE,8645,Rütiwiesstrasse 60,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEAWQQYR64CZE53DHHC95BQQ2KYQ,CH*ECUEAWQQYR64CZE53DHHC95BQQ2KYQ,Free publicly accessible,47.196102 7.709842,Herzogenbuchsee,CHE,3360,Waldgasse 28,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEXR5ZDNS5RVCS7XFQLBC6JHP733,CH*ECUEXR5ZDNS5RVCS7XFQLBC6JHP733,Free publicly accessible,46.169657 8.856099,Tenero-Contra,CHE,6598,Via alle Brere 7,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEA8AXDVA8Z66K5TBZK5BMXSDL42,CH*ECUEA8AXDVA8Z66K5TBZK5BMXSDL42,Free publicly accessible,47.386321 8.131414,Hunzenschwil,CHE,5502,Korbackerweg 19,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEAYGYJ3BFGFDWFYGBGZTBGPMDDS,CH*ECUEAYGYJ3BFGFDWFYGBGZTBGPMDDS,Free publicly accessible,47.292509 7.933528,Zofingen,CHE,4800,u. Brühlstrasse 19,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEYBDDNBC6GG6P2EGR8JG8QPH4B2,CH*ECUEYBDDNBC6GG6P2EGR8JG8QPH4B2,Free publicly accessible,47.173973 8.510493,Zug,CHE,6300,Aabachstrasse 1,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEPUR36WVC2GKUSMQ5ACALZUHGDX,CH*ECUEPUR36WVC2GKUSMQ5ACALZUHGDX,Free publicly accessible,46.172747 8.795021,Locarno,CHE,6600,Via ai Monti 44,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEWR3HKP6DT4DMJ6QJKRAYJQ5T3Q,CH*ECUEWR3HKP6DT4DMJ6QJKRAYJQ5T3Q,Free publicly accessible,46.96951 8.465241,Beckenried,CHE,6375,Oeliweg 4,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE6VDXFVUPAGCRW3TQLUHE9T25PQ,CH*ECUE6VDXFVUPAGCRW3TQLUHE9T25PQ,Free publicly accessible,46.753689 7.622993,Thun,CHE,3600,Fliederweg 11,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUE7Q7SFS9FLJQVBJ97S57DU6USCS,CH*ECUE7Q7SFS9FLJQVBJ97S57DU6USCS,Free publicly accessible,47.476533 7.746991,Liestal,CHE,4410,Lausenerstrasse 6,,False,auto,True,,0.0,False,,120.0,DC
CH*ECUEZ22UFNNTH4TRWUB4VXSTSKX3KS,CH*ECUEZ22UFNNTH4TRWUB4VXSTSKX3KS,Free publicly accessible,47.476533 7.746991,Liestal,CHE,4410,Lausenerstrasse 6,,False,auto,True,,0.0,False,,120.0,DC
CH*ECUE3HXJ7MC7UAYUZGAMGVE3DEHXPS,CH*ECUE3HXJ7MC7UAYUZGAMGVE3DEHXPS,Free publicly accessible,47.413098 9.252398,Gossau,CHE,9200,Bahnhofstrasse 37,,False,auto,True,,0.0,False,,0.0,AC_3_PHASE
CH*ECUEKCM9RQ7DCWCUVLWTXK3WC6S3ZW,CH*ECUEKCM9RQ7DCWCUVLWTXK3WC6S3ZW,Free publicly accessible,47.237203 8.074939,Triengen,CHE,6234,Kantonsstrasse 73,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEVDK8T5G4SRV4YMGQAH8XAKVJUX,CH*ECUEVDK8T5G4SRV4YMGQAH8XAKVJUX,Free publicly accessible,47.496384 8.712994,Winterthur,CHE,8400,Brühlbergstrasse 4,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEXW79ABZ8A4JGM6VM7K2P4K5PQ3,CH*ECUEXW79ABZ8A4JGM6VM7K2P4K5PQ3,Free publicly accessible,47.035426 8.305186,Luzern,CHE,6005,Horwerstrasse 83 (Zugang nur für Kunden),,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE4CT4GWMUUYPUWMLTR57DD5VULS,CH*ECUE4CT4GWMUUYPUWMLTR57DD5VULS,Free publicly accessible,46.732382 7.621906,Gwatt (Thun),CHE,3645,Schorenstrasse 39,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEKK6CBQX4KMSDPTUKS2JMY44MCX,CH*ECUEKK6CBQX4KMSDPTUKS2JMY44MCX,Free publicly accessible,47.014379 8.304215,Horw,CHE,6048,Steinenstrasse 4,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEV9APNSADRP5J6CERSMKCUBTBQ3,CH*ECUEV9APNSADRP5J6CERSMKCUBTBQ3,Free publicly accessible,46.748617 9.099829,Ruis,CHE,7134,Meierhof 32,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE8XGF7QUUXWVLWMY4GWAU3N4NXS,CH*ECUE8XGF7QUUXWVLWMY4GWAU3N4NXS,Free publicly accessible,47.185451 8.490509,Zug,CHE,6300,Chollerstrasse 24,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEB2ZRBYXMW84SZHQ5YRYWQVTYKX,CH*ECUEB2ZRBYXMW84SZHQ5YRYWQVTYKX,Free publicly accessible,47.28526 7.434635,Crémines,CHE,2746,Chem. de Grandval 143,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEP79QSC9TJ4X2ERHPED3CS4CPL2,CH*ECUEP79QSC9TJ4X2ERHPED3CS4CPL2,Free publicly accessible,46.821541 8.650157,Erstfeld,CHE,6472,Gotthardstrasse 99,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEU8R7JXAHTSPKJMPNB7XC99ARAW,CH*ECUEU8R7JXAHTSPKJMPNB7XC99ARAW,Free publicly accessible,46.163965 8.790349,Locarno,CHE,6600,Via Alla Peschiera 3,,False,auto,True,,0.0,False,,3.7,AC_3_PHASE
CH*ECUENCT6US4X37E2A2B26FKC9J77LS,CH*ECUENCT6US4X37E2A2B26FKC9J77LS,Free publicly accessible,47.070454 7.595284,Lyssach,CHE,3421,Schachenstrasse 54,,False,auto,True,,0.0,False,,0.0,AC_3_PHASE
CH*ECUE6GZYNYQX9V5WY3BQ2LYBW9YPL2,CH*ECUE6GZYNYQX9V5WY3BQ2LYBW9YPL2,Free publicly accessible,46.555363 7.370507,Zweisimmen,CHE,3770,Höhenstrasse 2,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEMKEUBSK8EZR5GDMF767XCXBE73,CH*ECUEMKEUBSK8EZR5GDMF767XCXBE73,Free publicly accessible,47.056935 8.312702,Luzern,CHE,6006,Weystrasse 20,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEH4SLY8QV7RHJMVKJBLFAPJVQG2,CH*ECUEH4SLY8QV7RHJMVKJBLFAPJVQG2,Free publicly accessible,47.502558 8.537468,Bachenbülach,CHE,8184,Bramenstrasse 15,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEJE5FCC93CGGYVZHAMTHB29ELHX,CH*ECUEJE5FCC93CGGYVZHAMTHB29ELHX,Free publicly accessible,47.159352 7.277823,Biel,CHE,2504,Solothurnstrasse 112,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUE3BHCUG435TNYSZTEE253ZSNMXX,CH*ECUE3BHCUG435TNYSZTEE253ZSNMXX,Free publicly accessible,46.998856 8.479538,Vitznau,CHE,6354,Schibernstrasse 2,,False,auto,True,,0.0,False,,11.0,AC_3_PHASE
CH*ECUEAM4LHFSZLFUZGD2GAVSTVAEH62,CH*ECUEAM4LHFSZLFUZGD2GAVSTVAEH62,Free publicly accessible,46.723118 7.084256,Farvagny,CHE,1726,Chem. de la Longivue 1,,False,auto,True,,0.0,False,,150.0,DC
CH*ECUEQXPRDKN7MNVC2LUQRF6N4RR8U3,CH*ECUEQXPRDKN7MNVC2LUQRF6N4RR8U3,Free publicly accessible,46.750472 8.101677,Brienzwiler,CHE,3856,Kreuzgasse 3,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
CH*ECUEPHH97AUVA3JSYFBPYA6UVMUUMX,CH*ECUEPHH97AUVA3JSYFBPYA6UVMUUMX,Free publicly accessible,46.750472 8.101677,Brienzwiler,CHE,3856,Kreuzgasse 3,,False,auto,True,,0.0,False,,22.0,AC_3_PHASE
