"","date","hour","minute","total_load","count_occ","NA_sum","pct_NA_points","mean_EVSE","mean_imputed","pct_imputed","max_load","max_occ","max_pct_NA_pts","NA_max","max_imputed","max_pct_imputed"
"1",2023-10-01,0,0,6638.7,196,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"2",2023-10-01,0,5,5911.7,187,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"3",2023-10-01,0,10,5933.7,188,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"4",2023-10-01,0,15,6437.7,186,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"5",2023-10-01,0,20,6366.7,184,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"6",2023-10-01,0,25,6022.7,181,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"7",2023-10-01,0,30,5733.7,181,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"8",2023-10-01,0,35,5385.7,175,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"9",2023-10-01,0,40,5074.7,173,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"10",2023-10-01,0,45,4874.7,172,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"11",2023-10-01,0,50,4852.7,171,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"12",2023-10-01,0,55,4574.7,171,0,0,34.6112903225806,0,0,6638.7,196,0,0,0,0
"13",2023-10-01,1,0,4596.7,172,0,0,27.704375,0,0,4596.7,172,0,0,0,0
"14",2023-10-01,1,5,4586.7,168,0,0,27.704375,0,0,4596.7,172,0,0,0,0
"15",2023-10-01,1,10,4586.7,168,0,0,27.704375,0,0,4596.7,172,0,0,0,0
"16",2023-10-01,1,15,4586.7,168,0,0,27.704375,0,0,4596.7,172,0,0,0,0
"17",2023-10-01,1,20,4586.7,168,0,0,27.704375,0,0,4596.7,172,0,0,0,0
"18",2023-10-01,1,25,4575.7,167,0,0,27.704375,0,0,4596.7,172,0,0,0,0
"19",2023-10-01,1,30,4575.7,167,0,0,27.704375,0,0,4596.7,172,0,0,0,0
