"","date","hour","minute","total_load","count_occ","NA_sum","pct_NA_points","mean_EVSE","mean_imputed","pct_imputed","max_load","max_occ","max_pct_NA_pts","NA_max","max_imputed","max_pct_imputed"
"1",2024-05-01,0,0,6713.4,319,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"2",2024-05-01,0,5,6309.7,306,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"3",2024-05-01,0,10,6309.7,306,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"4",2024-05-01,0,15,6331.7,307,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"5",2024-05-01,0,20,6383.7,308,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"6",2024-05-01,0,25,6483.7,307,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"7",2024-05-01,0,30,6619.7,306,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"8",2024-05-01,0,35,7078.7,306,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"9",2024-05-01,0,40,7085.7,306,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"10",2024-05-01,0,45,7019.7,302,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"11",2024-05-01,0,50,6678.7,299,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"12",2024-05-01,0,55,6656.7,298,0,0,23.2440397350993,0,0,7085.7,319,0,0,0,0
"13",2024-05-01,1,0,6700.7,301,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
"14",2024-05-01,1,5,6654.7,304,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
"15",2024-05-01,1,10,6632.7,303,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
"16",2024-05-01,1,15,6599.7,301,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
"17",2024-05-01,1,20,6577.7,300,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
"18",2024-05-01,1,25,6555.7,299,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
"19",2024-05-01,1,30,7111.7,298,0,0,23.8647651006711,0,0,7111.7,304,0,0,0,0
