"","date","hour","minute","total_load","count_occ","NA_sum","pct_NA_points","mean_EVSE","mean_imputed","pct_imputed","max_load","max_occ","max_pct_NA_pts","NA_max","max_imputed","max_pct_imputed"
"1",2024-01-01,0,0,7021.1,303,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"2",2024-01-01,0,5,7093.1,301,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"3",2024-01-01,0,10,7049.1,298,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"4",2024-01-01,0,15,7005.1,296,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"5",2024-01-01,0,20,7016.1,296,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"6",2024-01-01,0,25,7016.1,296,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"7",2024-01-01,0,30,7285.1,295,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"8",2024-01-01,0,35,7401.1,296,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"9",2024-01-01,0,40,7329.1,294,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"10",2024-01-01,0,45,7318.1,293,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"11",2024-01-01,0,50,7014.4,291,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"12",2024-01-01,0,55,7003.4,290,0,0,25.0037162162162,0,0,7401.1,303,0,0,0,0
"13",2024-01-01,1,0,7141,301,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"14",2024-01-01,1,5,6845,296,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"15",2024-01-01,1,10,6845,296,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"16",2024-01-01,1,15,6851,295,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"17",2024-01-01,1,20,6769,293,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"18",2024-01-01,1,25,6780,294,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"19",2024-01-01,1,30,6738,292,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"20",2024-01-01,1,35,6572,287,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"21",2024-01-01,1,40,6517,285,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"22",2024-01-01,1,45,6445,283,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"23",2024-01-01,1,50,6423,282,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"24",2024-01-01,1,55,6401,281,0,0,23.7242524916944,0,0,7141,301,0,0,0,0
"25",2024-01-01,2,0,6379,280,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"26",2024-01-01,2,5,6441,274,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"27",2024-01-01,2,10,6902,277,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"28",2024-01-01,2,15,6913,278,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"29",2024-01-01,2,20,7191,278,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"30",2024-01-01,2,25,7169,277,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"31",2024-01-01,2,30,6858,275,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"32",2024-01-01,2,35,6560,267,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"33",2024-01-01,2,40,6282,267,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"34",2024-01-01,2,45,6271,267,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"35",2024-01-01,2,50,6293,269,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"36",2024-01-01,2,55,6293,269,0,0,25.8808664259928,0,0,7191,280,0,0,0,0
"37",2024-01-01,3,0,6260,267,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"38",2024-01-01,3,5,6494,265,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"39",2024-01-01,3,10,6492,265,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"40",2024-01-01,3,15,7092,267,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"41",2024-01-01,3,20,7090,267,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"42",2024-01-01,3,25,7423,270,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"43",2024-01-01,3,30,6781,266,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"44",2024-01-01,3,35,6882,266,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
"45",2024-01-01,3,40,6882,266,0,0,27.4925925925926,0,0,7423,270,0,0,0,0
